"","id","created_time","snippet","headline"
"100",10,"2000-01-19T05:00:00+0000","Some of world's largest Christian denominations boycott ceremony in Rome celebrating start of Roman Catholic Holy Year because Pope John Paul II is using occasion to highlight importance of indulgences, practice that helped set off Protestant Refo...","The Pope Opens a Door, but Not All Christians Feel Welcome"
"101",1,"2001-12-31T05:00:00+0000","Two leaders of Chinese Christian sect are sentenced to death under country's 1999 anti-cult law; Hong Kong-based Information Center for Human Rights and Democracy reports that Gong Shengliang, founder of unauthorized South China Church, has been o...","2 Christians Ordered to Die As China Acts Against a Sect"
"102",2,"2001-12-16T05:00:00+0000","","Jane Shivers, Christian Hoffman"
"103",3,"2001-12-09T05:00:00+0000","","Katharine McCoid, Christian Roth IV"
"104",4,"2001-12-06T05:00:00+0000","Pat Robertson, widely televised evangelist and one-time presidential candidate, resigns as president of Christian Coalition, grass-roots orgn he made one of most powerful political forces in country in mid-1990's, only to see it go into steep decl...","Robertson Resigns From His Christian Coalition"
"105",5,"2001-12-29T05:00:00+0000","Christian Longo is sought after bodies of his wife and three young children are found in ocean off Newport, Oregon; his photo (M)","Man Is Sought After His Wife And Children Die in Oregon"
"106",6,"2001-12-25T05:00:00+0000","New $1.6 million indoor vendors market, called Flatbush Vendor Mart, will open next month to 61 small-scale vendors; mart represents promise City Councilwoman Una S T Clarke made to vendors six years ago, as they looked for ally in their effort to...","New Jitters in the Air, Critics at Ground Zero and Christmas in Kabul"
"107",7,"2001-12-21T05:00:00+0000","Godfrey Sperling Jr, columnist for Christian Science Monitor, presides at breakfast at St Regis Hotel in Washington at which Sen Tom Daschle answers questions from some 60 newspaper reporters, the 3,241st such gathering for journalists and newsmak...","3,241 Breakfasts Down, None to Go"
"108",8,"2001-12-20T05:00:00+0000","Listen, Officeholders To the Editor: Re ""E-Mail Gets the Rare Ear in Congress"" (Dec. 13): It is appalling to learn that Congress finds e-mail to be such a challenging form of communication, particularly when its members have experienced specific i...","Letters to the Editor"
"109",9,"2001-12-19T05:00:00+0000","R William Franklin, dean of Berkeley Divinity School, Episcopal seminary affiliated with Yale Divinity School, announces his resignation following widening rift between Berkeley and Yale that began over propiety of Franklin's use of school's money...","Dean of Yale-Affiliated Divinity School Leaves Amid Spending Dispute"
"110",10,"2001-12-19T05:00:00+0000","Brief biographical profiles of some of those lost in World Trade Center; photos: Robert Evans, Daniel Edward Harlin, Michael Collins, Erica Van Acker, Thomas E Hynes, Abdoul Karim Traore, Christian Wemmers, Jerry DeVito, Michael Curtin, Gabriela S...","Living Large, Hanging Tough, Breaking Ground and Loving the Flag"
"111",1,"2001-12-17T05:00:00+0000","Pres Bush has kept his personal belief in Christianity unusually private since Sept 11 while making extraordinary gestures to Islam; is set to mark holiday that ends Muslim holy month of Ramadan as Christian, Jewish and Islamic observances converg...","White House Letter; A New, Inclusive Era Of the Holiday Party"
"112",2,"2001-12-14T05:00:00+0000","Rev Jerry Falwell resumes fundraising to press Bush administration to focus on domestic legislative battles on behalf of conservative family-oriented social agenda; urges Bush to exploit his current popularity to push for agenda; holds Bush backs ...","Falwell Is Raising Money to Press Conservative Family Agenda"
"113",3,"2001-12-12T05:00:00+0000","Pres Bush aide Karl Rove, noting only 15 million of 19 million conservative Christian voters voted in 2000 presidential race, suggests administration will do even more to reach out to white evangelicals; cites concern that evangelicals will eschew...","Aide Says Bush Will Do More to Marshal Religious Base"
"114",4,"2001-12-09T05:00:00+0000","Op-Ed article by Michael Lind says Pat Robertson, who recently announced his resignation as president of Christian Coalition, has been most influential figure in American politics in past decade; says by inflating numbers of his followers and taki...","The Right Still Has Religion"
"115",5,"2001-12-09T05:00:00+0000","New trends in American dating range from seven-minute Speed Dating conversations among Jewish singles in Los Angeles, to hunch-based cautious marriage track pursued by some young Christian conservatives; photos (S)","Nonromantic Dating"
"116",6,"2001-11-25T05:00:00+0000","","Paid Notice: Deaths  WIGHT, CHRISTIAN F."
