"","id","created_time","snippet","headline"
"95",5,"2000-08-17T05:00:00+0000","Article on Sen Joseph I Lieberman's use of Jewish humor in Democratic National Convention speech and elsewhere (M)","So Here's This Jewish Guy Who Gets Nominated . . ."
"96",6,"2000-10-24T05:00:00+0000","The road intersection between the Arab city of Nazareth and the adjacent Jewish cityof Upper Nazareth was the scene this month of a clash between residents of the two cities in which two Arabs were shot to death..It was in very different circumsta...","When Israeli Arabs Were on the Israeli Jews' Side"
"97",7,"2000-02-20T05:00:00+0000","","Good Clean Literary Fun for 400: A Jewish Exploration of Erotica"
"98",8,"2000-09-23T05:00:00+0000","Beliefs column on recent statement issued by more than 150 rabbis and Jewish scholars from all branches of Judaism, which calls on Jews to consider thoughtful response to changes in relationship between their faith and Christianity in light of sin...","Beliefs; Ten carefully worded paragraphs encourage Jews to consider a thoughtful response to changes in the relationship between Christianity and Judaism"
"99",9,"2000-06-10T05:00:00+0000","Deaths of Sarah Blima Halberstam and her baby, Chaya Esther Halberstam, in Williamsburg, Brooklyn, house fire stuns close-knit community of ultra-Orthodox Satmar Jews; victims are granddaughter and great-granddaughter of Grand Rabbi Moses Teitelba...","Orthodox Jews Are Stunned By 2 Deaths In Brooklyn"
"100",10,"2000-03-13T05:00:00+0000","Pope John Paul II holds private audience with Ron Balamuth, New York psychiatrist and grandson of Yechiel Balamuth, who was landlord of Pope and father when both lived in Wadowice, Poland, before World War II; nostalgically pointed out boyhood hom...","Pope Meets Jewish Link to His Boyhood"
"101",1,"2001-11-14T05:00:00+0000","Footlights column reports on exhibition of Jewish artists in 19th-century Europe at Jewish Museum, European timepiece exhibition at Frick Collection, discussion of Herman Melville at Barnes & Noble Union Square on occasion of 150th anniversary of ...","Footlights"
"102",2,"2001-11-04T05:00:00+0000","Long Island Journal column: Merrick Jewish Center Rabbi Charles Klein, who has developed variety of programs for children, teens, families and newcomers, is named rabbi of the year by New York Board of Rabbis; counselors at Long Island Crisis Cent...","Standing Tall as a Cheerleader for Judaism"
"103",3,"2001-10-04T05:00:00+0000","Architect Ian Bader designs sukkah in backyard of home in Riverdale, NY, to mark Jewish festival of Sukkot; photo (S)","Within the Confines Of a Beloved Holiday"
"104",4,"2001-10-04T05:00:00+0000","Loss of Internet connection on Sept 11 prevents students at Jewish Theological Seminary from using e-mail to make traditional Yom Kippur appeals to friends and acquaintances for forgiveness for any wrongs they may have done to them; some students ...","Loss of Net Halts An Online Ritual"
"105",5,"2001-09-10T05:00:00+0000","Jewish Museum opens in Berlin, devoted to tortured history of life and destruction of Germany's Jews; prominent politicians, including Chancellor Gerhard Schroder and Pres Johannes Rau, attend; photo (M)","A Memory-Strewn Celebration of Germany's Jews"
"106",6,"2001-09-10T05:00:00+0000","About 250 Orthodox Jews celebrate selihot aboard charter boat in New York Harbor; service is organized by Jewish Cultural Fund for Performing Arts; photo (M)","New York Harbor Journal; Cruise Has Time to Repent and Time to Party"
"107",7,"2001-09-06T05:00:00+0000","Peter F Vallone wins endorsement of Rabbi David Niederman, head of Council of Jewish Organizations, umbrella of social service groups for Satmar sects of Williamsburg, Brooklyn (S)","A Rabbi Who Serves Satmars Is Backing Vallone for Mayor"
"108",8,"2001-08-29T05:00:00+0000","City of Furth, Germany, and descendants of Siegmund Dottenheimer, original owner of early 18th-century Torah breastplate in collection of Jewish Museum of Franconia, reach agreement whereby breastplate--looted by Nazis--will return to family in 20...","Museum Helps Jewish Family Regain Relic Nazis Stole"
"109",9,"2001-08-26T05:00:00+0000","In the City of London, not far from where the East End begins, England's medieval Jewish community built its first synagogue in the 12th century. That building is long gone, and the Bevis Marks Synagogue, which dates from 1701, was not constructed...","Travel Advisory"
"110",10,"2001-08-04T05:00:00+0000","Panel of Roman Catholic and Jewish scholars, jointly appointed by Vatican and international Jewish organization to review documents related to Pope Pius XII and World War II, halted its work last month; within week, that news became public, settin...","Religion Journal; After a Vatican-Jewish Project Fails, a Split on Why"
"111",1,"2001-07-27T05:00:00+0000","Ken Johnson reviews exhibit, Voice, Image, Gesture: Selections From the Jewish Museum's Collection, 1945-2000, at Jewish Museum; photos (M)","Wry Skepticism About What Jewishness Means"
"112",2,"2001-07-18T05:00:00+0000","American Jewish Committee holds forum in New York City to discuss who owns physical evidence, written accounts and artifacts of Holocaust and specifically whether Yad Vashem, Holocaust memorial in Jerusalem, was right to remove pieces of mural cre...","Debating Who Controls Holocaust Artifacts"
"113",3,"2001-11-30T05:00:00+0000","Correction of Nov 28 Workplace article about people who switch jobs between religious and secular worlds that referred incorrectly to figure for students at Jewish Theological Seminary in New York who are in second careers; about 85 percent of stu...","Corrections"
"114",4,"2001-11-21T05:00:00+0000","Letter by Ruth Messinger, president of American Jewish World Service, says organization is proud to have supported secret education of girls in Taliban-controlled Afghanistan and continues to stand with courageous Afghan women (S)","Women of Courage"
